Date_Forecast;Volume;Open;High;Low;Close;Bid;Ask
31.12.2023;310116.08;7240.92;7250.49;7167.2;7194.2;7176.1;7181.08
31.01.2024;394666.88;7223.01;7264.08;7178.46;7222.85;7199.77;7204.29
29.02.2024;408570.13;7245.53;7270.65;7203.77;7226.79;7209.03;7213.6
31.03.2024;465714.39;7254.35;7278.63;7197.34;7229.1;7211.22;7215.75
30.04.2024;482617.05;7265.19;7293.6;7208.76;7244.89;7224.74;7229.35
31.05.2024;426832.34;7273.29;7296.73;7215.92;7236.02;7220.11;7224.35
30.06.2024;363993.07;7270.12;7295.6;7229.68;7252.76;7233.6;7237.74
31.07.2024;365120.98;7285.58;7311.89;7228.25;7265.58;7245.94;7250.68
31.08.2024;416939.7;7289.44;7312.56;7236.82;7265.78;7248.05;7252.33
30.09.2024;575936.58;7299.25;7320.89;7236.04;7262.16;7242.5;7247.11
31.10.2024;761537.92;7289.71;7309.58;7217.73;7233.96;7218.89;7223.39
30.11.2024;578654.78;7262.17;7292.65;7208.6;7234.95;7218.95;7223.44
31.12.2024;399089.06;7263.22;7271.95;7189.24;7215.63;7198.14;7203.01
31.01.2025;428154.5;7246.93;7286.22;7202.34;7244.15;7221.2;7225.72
28.02.2025;410944.85;7267.83;7293.19;7226.25;7247.93;7230.2;7234.76
31.03.2025;456526.74;7277.94;7301.9;7220.62;7250.16;7232.34;7236.87
30.04.2025;471158.84;7288.31;7314.21;7230.61;7266.35;7246.14;7250.79
31.05.2025;410040.02;7294.46;7316.08;7237.69;7257.41;7241.47;7245.74
30.06.2025;347743.03;7292.14;7315.32;7251.13;7274.21;7254.98;7259.17
31.07.2025;351619.44;7307.04;7331.26;7250.82;7286.63;7267.11;7271.85
31.08.2025;399018.44;7312.85;7336.23;7259.84;7286.72;7269.13;7273.4
30.09.2025;553491.27;7322.76;7344.98;7259.13;7282.97;7263.48;7268.04
31.10.2025;740190.51;7313.56;7331.28;7240.32;7255.4;7240.26;7244.79
30.11.2025;557657.41;7284.55;7314.19;7231.26;7256.02;7240.01;7244.49
31.12.2025;380430.76;7285.58;7293.54;7211.44;7236.73;7219.2;7224.07
31.01.2026;410448.52;7269.33;7307.84;7225.0;7265.25;7242.27;7246.78
28.02.2026;393773.21;7290.19;7314.82;7248.47;7269.03;7251.26;7255.83
31.03.2026;439553.6;7300.33;7323.56;7243.26;7271.26;7253.41;7257.93
30.04.2026;454224.56;7310.69;7335.77;7252.83;7287.45;7267.21;7271.86
31.05.2026;393197.45;7316.79;7337.59;7260.31;7278.51;7262.54;7266.81
30.06.2026;330891.09;7314.5;7336.84;7273.35;7295.31;7276.05;7280.23
31.07.2026;334720.17;7329.38;7352.76;7273.44;7307.73;7288.18;7292.92
31.08.2026;382195.24;7335.24;7357.91;7282.1;7307.82;7290.2;7294.47
30.09.2026;536745.93;7345.15;7366.68;7281.75;7304.07;7284.55;7289.11
31.10.2026;723426.27;7335.95;7352.88;7262.58;7276.5;7261.32;7265.86
30.11.2026;540887.15;7306.91;7335.78;7253.87;7277.13;7261.08;7265.55
31.12.2026;363620.24;7307.94;7315.14;7233.7;7257.83;7240.27;7245.14
31.01.2027;393621.6;7291.69;7329.44;7247.61;7286.35;7263.34;7267.85
28.02.2027;376937.1;7312.56;7336.42;7270.73;7290.13;7272.33;7276.89
31.03.2027;422714.07;7322.7;7345.16;7265.86;7292.36;7274.48;7279.0
30.04.2027;437384.36;7333.05;7357.36;7275.1;7308.55;7288.28;7292.92
31.05.2027;376355.67;7339.15;7359.18;7282.89;7299.61;7283.61;7287.87
30.06.2027;314049.47;7336.86;7358.43;7295.62;7316.41;7297.12;7301.3
31.07.2027;317879.37;7351.74;7374.35;7296.02;7328.83;7309.25;7313.98
31.08.2027;365353.12;7357.61;7379.51;7304.38;7328.93;7311.27;7315.53
30.09.2027;519902.48;7367.52;7388.28;7304.33;7325.17;7305.62;7310.17
31.10.2027;706583.14;7358.32;7374.47;7284.86;7297.6;7282.39;7286.92
30.11.2027;524044.13;7329.28;7357.37;7276.44;7298.23;7282.15;7286.62
31.12.2027;346777.91;7330.3;7336.73;7255.99;7278.93;7261.34;7266.2
31.01.2028;376779.55;7314.06;7351.03;7270.17;7307.45;7284.41;7288.92
29.02.2028;360095.21;7334.92;7358.01;7293.03;7311.23;7293.4;7297.96
31.03.2028;405872.24;7345.06;7366.75;7288.42;7313.47;7295.55;7300.07
30.04.2028;420542.54;7355.42;7378.96;7297.4;7329.66;7309.35;7313.99
31.05.2028;359513.88;7361.52;7380.78;7305.45;7320.71;7304.68;7308.94
30.06.2028;297207.67;7359.22;7380.02;7317.93;7337.51;7318.19;7322.37
31.07.2028;301037.56;7374.1;7395.95;7318.57;7349.93;7330.32;7335.05
31.08.2028;348511.34;7379.97;7401.11;7326.69;7350.03;7332.34;7336.6
30.09.2028;503060.71;7389.88;7409.88;7326.87;7346.27;7326.69;7331.24
31.10.2028;689741.37;7380.68;7396.07;7307.18;7318.7;7303.46;7307.99
30.11.2028;507202.36;7351.64;7378.97;7298.98;7319.33;7303.21;7307.69
